Salle;Adresse;Ville;Numéro de téléphone;Email
Club Equus Hammamet;Chemin Skake Khedhri ;Hammamet;+216 55 84 88 90 ;null
Club Escrime Monastir;Stade Mustapha Ben Jannet  ;Monastir;+216 73 90 73 31 /  29 00 31 63 ;club.escrime.monastir@gmail.com
Club Espoir de Boxe Jemmel;Jemmel ;Monastir;+216 97 25 83 21 ;ceb.jemmel@gmail.com
Club EXHALE;54 Avenue d'Afrique Menzah V ;El Menzah;+216 26 262 000 ;exhale.tunisie@gmail.com
CLUB EYA;Route gremda klm9  ;Sfax;+216 98 41 11 05 ;null
Club Football Témimien;Menzel Temime ;Nabeul;+216 72 30 04 98 ;null
Club Handball Ksour Essef;Ksour Essef ;Mahdia;+216  99 88 07 77 ;null
Club hippique Carmen;Hippodrome de Monastir ;Monastir;+216 27 39 91 85 ;stallcarmen@gmail.com
Club jeunesse éternelle ;Rue 13 aout 1956 ;Bizerte;+216 22 77 03 23 ;nozha23@hotmail.fr
Club Karaté Monastir;Cité R6 près de mosquée Ennour  ;Monastir;+216 98 58 10 42 ;null
Club Karim;Route de Tunis km 8 prés de club d'équitation ;Sakiet Ezzit;+216 29 156 155 ;clubkarim@topnet.tn
Club Kurubis Mini football;Korba ;Nabeul;+216 23 08 92 22 ;kurubis.ckmf@hotmail.com
Club Med Gym;Rue nationale, El Mourouj P6R4+RX El Mourouj ;Ben Arous;+216 31 18 51 38 ;null
Club Miami Center;Route Sidi Mansour km2 ;Sfax;+216 53 413 053 ;contact@miami-sport.com
Club Municipal d'Athlétisme ;Kairouan Sud ;Kairouan;+216 77 230 526 ;CMAKATHLET@yahoo.fr
Club municipal de judo à Raoued;Cebalat Ben Ammar ;Ariana;+216 90 11 18 80 ;null
Club municipal de taékwondo Hajeb Layoun;Salle couverte Hajeb El Ayoun  ;Kairouan;+216 22 71 15 70 / +216 97 57 92 00 ;null
Club Municipal de Tennis de Chihia;Route Teboulbi km 6 ;Sfax sud;+216 29 60 03 40 ;club.tennis.chihia@gmail.com
Club nautique de la Marine Tunisienne;Port de Plaisance La Goulette ;Tunis;+216 71 73 62 84 ;cnmt@topnet.tn
Club Nautique de Sfax;Taparura, au bord de la mer ;Sfax;+216 44 86 98 68 ;null
Club nautique de Sidi Bou Said;6, Rue Kennedy - 2023 Port de Sidi Bou Said ;Tunis;null;null
CLUB NAUTIQUE DE SOUSSE (C.N.S);Avenue Mohamed V - Port de Sousse ;Sousse;+216 73 203 019 / 53 787 976 / 50 694 922 ;cnsousse1937@gmail.com
Club Nautique du Lac;Berges du Lac ;Tunis;+216 71 96 09 82 ;null
club nautique hammam sousse;Hammam Sousse ;Sousse;+216 98 29 20 04 ;rziga_chafik@yahoo.fr
Club Nautique Hammamet;Hammamet ;Nabeul;+216 98 67 03 46 ;hammametclubnautique@gmail.com
Club Nawres Des Sports Uniques;Sidi Hcine ;Tunis;+216 54 28 12 88 ;nawrescnsu@yahoo.fr
Club OLYMPIQUE BEN AROUS;10, Rue charles Nicolle ;Ben Arous;+216 71 381 610 ;aiki_ikkyo@yahoo.fr
Club olympique de Kélibia;Kélibia ;Nabeul;+216 72 27 34 00 ;cokelibia@gmail.com
Club Olympique des transports;El Mlassine ;Tunis;+216 98 43 68 70 ;null
Club Olympique du Kram;Le Kram  ;Tunis;+216 58 71 92 07 ;null
Club Olympique Sfaxien ;La route de l’aéroport km 3 ;Sfax;+216 24 25 87 94 ;null
Club Orange Soukra de Tennis de Table;La soukra ;Ariana;+216 50 51 71 99 ;null
Club Pantta Gym Jendouba; 12 chemin zone industrielle 09avril ;Jendouba;+216  58 19 31 65 ;panattaclub17@gmail.com
Club pétanque Dauphin d'Or;Stah Jabeur ;Monastir;+216 98 54 11 03 ;null
Club pétanque de Ksar hellal;Avenue Hadj Ali Soua, Ksar Helall ;Monastir;null;null
Club Pétanque El Mahrés;El Mahrés ;Sfax;+216 20 50 91 05 ;null
Club Pétanque Khwaldia;Eljem ;Mahdia;+216 95 67 03 43 ;null
Club pétanque Menzel Ennour;Menzel Ennour ;Monastir;+216 50 69 93 42 ;null
Club Pétanque Moknine;Moknine ;Monastir;+216 27 00 16 85 ;hamtenhama5@gmail.com
Club Rabeb Sport;20 Rue Mohamed Bjéoui, L'Aouina ;Ariana;+216 97 66 15 07 ;null
Club Rugby féminin;Ragueda ;Kairouan Sud;+216 50 03 17 77 ;rugbyraccada@gmail.com
Club Rugby Jedaida;Jedaida ;Manouba;+216 24 54 36 99 ;null
Club Sport +;Route de l'aéroport km 3 ;Sfax;+216 21 672 606 ;admin@club-sport-plus.com
Club Sportif BOULE D'or;Ezzahra ;Ben Arous;+216 29 71 97 78 ;null
Club Sportif de Bembla;Bembla ;Monastir;null;null
Club sportif de Hammam Lif;9 Avenue 20 mars, Hammam-Lif ;Ben Arous;+216 71 43 78 14 ;null
Club Sportif de Jeux Individuels Téboulba;Téboulba ;Monastir;+216 27 22 79 88 ;null
Club Sportif de Messadine;Messadine ;Sousse;+216 73 28 40 24 ;csme.1976@gmail.com
Club Sportif Djebeniana;Djebeniana ;Jebeniana;+216 52 79 58 01 ;null
Club sportif El Amra;El Amra ;Sfax;+216 29 62 54 77 ;makhloufi1naim@hotmail.fr
Club sportif féminin Boumardes;Boumardes ;Mahdia;+216 98 96 13 38 ;null
Club Sportif Gafsien;Avenue Ali Belhouane ;Gafsa Sud;+216 50 87 00 33 ;null
Club Sportif Gorjani;Rue El Jawaher ;Tunis;+216 97 78 67 50 ;csgorjani@gmail.com
Club sportif hajeb layoun ;Hajeb layoun ;Hajeb El Ayoun;+216 77 37 00 00 ;null
Club Sportif Haouaria;El Haouaria ;Nabeul;+216 22 51 49 16 ;null
Club sportif Hazeg ;Hazeg ;Sfax;+216 74 89 56 38 ;null
CLUB SPORTIF HILALIEN (CSH);BP 24 Avenue Habib Bourguiba ;Ksar Helal;+216 73 472 825 ;cshilalien@gmail.com
Club Sportif Jeux Individuels Mahrés;El Mahrés ;Sfax;+216 98 36 72 02 ;null
Club Sportif Kalaat El Andalous;Kalaat El Andalous ;Ariana;+216 58 12 07 60 ;null
Club sportif Mahfoudh de Kélibia;Kélibia ;Nabeul;+216  97 43 86 11 ;null
Club Sportif Maison de Jeunes Sakiet ezzit Sfax;Maison de jeunes Sakiet ezzit ;Sfax;+216 74 25 05 00 ;null
Club sportif Mégrine Chaker;Mégrine Chaker ;Ben Arous;+216 22 19 62 07 ;null
Club sportif sfaxien (CSS);Route du nouveau port de pêche, BP297 ;Sfax; +216 74 49 71 38 ;media@css.org.tn
Club Sportif Sidi Bannour;Sidi Bannour ;Monastir;+216 24 93 26 23 ;rabid.ramzi@gmail.com
Club Tacapes Judo;Rue de sport  ;Gabès;+216 54 49 15 13 ;null
Club Tennis de Table Ariana;El Menzah ;Ariana;+216 98 99 31 63 ;benzartif@yahoo.fr
Club Tennis De Table El Alia ;El Alia ;Bizerte;+216 53 16 02 98 ;ctta-elalia@gmail.com
Club tigre sportif ;16 avenue la révolution 14 janvier 2011 ;Manouba;+216 98 95 95 72 ;sportiftigre@gmail.com
Club Tigre Sportif;16 Avenue la révolution 14 janvier 2011, Oued Ellil ;Manouba;+216 98 95 95 72 ;sportiftigre@gmail.com
Club Tipaza Djerba;Djerba Midoun ;Médenine;+216 21 33 92 22 ;tipazadiving@gmail.com
Club Tir Sportif Hammamet;Hammamet ;Nabeul;+216 55 34 57 59 ;clubtirhammamet@ymail.com
Club Universitaire de Sfax;Cité universitaire ;Sfax;+216 50 38 07 87 ;null
Cobra Team ;Denden ;Manouba;+216 22 52 27 98 ;cobrateamtncontact@gmail.com
COCO GYM;Avenue Jugurtha ;Tunis;+216 71 84 51 15 ;null
coerver COACHING;MAAMOURA ;Nabeul;+216  20 233 098 ;null
Coeur de Lion;Avenue de Russie, rue Al-Adami ;Kairouan;+216 77 30 00 95 ;null
Corail Sportif de Tabarka;49 rue d'Algérie ;Tabarka;null;null
Corniche Tennis Academy;Hôtel Résidence Ain Meriem  ;Bizerte;+216 98 98 52 14 ;amorsadkaoui@gmail.com
Corona Gym;El Mourouj  ;Ben Arous;+216 23 42 89 42 ;clubcoronagym@gmail.com
Correcte Gym;Derrière BIAT ;Ksibet Medyouni;+216 99 76 50 50 ;correctegym@gmail.com
Croissant Sportif Chebbien;Chebba ;Mahdia;+216 73 64 31 43 ;null
Croissant Sportif de Msaken;Msaken ;Sousse;+216 73 29 04 00 ;croissant.sportif@gmail.com
Croissant Sportif Redeyef;Stade Municipal  ;Redyef;+216 24 94 43 62 ;ramdan102030@hotmail.com
CrossFit La Marsa;81 Rue de l'Or Tunisia La Marsa ;Tunis;+216 92 48 20 01 ;contact@crossfit-marsa.com
Cure Sport;Rue Hamza Ibn Abdelmotaleb, Cité El Ghazala, Raoued ;Ariana;+216 70 68 67 02 ;null
Dalia Sportive de Grombalia;Grombalia ;Nabeul;+216 27 76 05 78 ;null
Dance Beauty;Rue mohamed bairem 5 marsa les pins ;La Marsa;+216 20 262 945 ;contact@site.com
Dance For Fun - Latin Club;X20 Jardin Menzah MNIHLA ;Ariana;+216 95 03 90 39 ;faycaljarraya@hotmail.com
Deutsche-Gym;Turki-Grombalia ;Nabeul;+216 72 25 77 34 ;chokri73@hotmail.de
Diamond Football Academy;stade gammoudi  ;Gafsa;+216 97 96 88 26 ;null
DJAY Fitness;Rue de Tunis ;Ariana;+216 22 99 65 16 ;Golds.gym.ariana@gmail.com
Djerba Champion's Academy;Djerba Midoun Avenue de l'environnement à coté de l'école privée avicenne ;Jerba Midoun;+216 24 66 66 05 ;ziednasrisimg@gmail.com
Djerba Golf Club;Zone Touristique, Midoun, Djerba ;Médenine;+216 75 74 50 55 ;null
Djerba Golf Club - Les Palmiers/Les Mer Course;Djerba Midoun ;Médenine;+216 75 74 50 55 ;null
Djerba Super Gym;Djerba ;Médenine;+216 24 90 06 45 ;null
Djerba Tennis Club;Complexe Sportif Essrandi - El May -Djerba ;Médenine;+216 23 83 27 16 ;djerbatennisclub@gmail.com
DOCTOR GYM;2 Rue des métaux, La Soukra ;Ariana;+216 52 52 28 33 ;doctorgym.tn@gmail.com
Dream Gym;49 B, 1006 Avenue Farhat Hached, Site archéologique de Carthage, Le Kram ;Tunis;+216 20 79 33 55 ;dreamgym1706@gmail.com
Dream Sport GYM ;Rue Imam Sahnoun ;Kairouan;+216 94 67 25 54 ;hamdisoumayahamdi@gmail.com
DUO CLUB;Route de Tunis, KM 1.5 ;Sfax;+216 26 154 777 ;duo.club.sfax@gmail.com
Dynamik Fitness Club;40 Bis. Rue Sakiet Sidi Yousef, Cité Sidi Achour ;Nabeul;+216 29 20 01 30 ;null
Echecs academie internationale sfax;Cité commerciale ;Sfax;+216 22 66 62 27 / 25 23 65 07 ;asri_sofien@hotmail.fr
Eclair Sportif de Beni Hassen ;Beni Hassen ;Monastir;+216 98 95 71 61 ;eclairsportifbenihassen@gmail.com
ECLAIR TESTOUR;Testour ;Testour;+216 23 51 29 40 ;helmijabouzi1@gmail.com
Ecole de danse Douma; Rue abdellaziz thaalbi ;Sousse Jawhara;+216 98 228 564 ;null
Ecole Des Echecs Kef;rue taha hssin  ;Kef;+216 78 22 43 94 ;eclole.echecskef@gmail.com
École Fédérale De Gymnastique Artistique Tunisie;Jbal Lahmar ;Tunis;+216 97 66 02 79 ;null
Ecole Pilote des Arts Martiaux R6 Monastir;R6 Prés de mosquée Ennour ;Monastir Ville;+216 98 58 10 42 ;smdc.karate@yahoo.fr
EKICLUB; Route Touristique Dkhila ;Monastir Ville;+216 26 700 095 ;contact@ekiclub.com
El Baath Sportif Bennane;Bennane ;Monastir;+216 73 58 40 77 ;baathsportifbennane@gmail.com
El Gawafel sportives de Gafsa;Stade principal de Gafsa  ;Gafsa;+216 21 07 03 56 ;associationsportivegawefelgafsa@hotmail.com
EL Makarem de Mahdia;Rue Farhat Hachad ;Mahdia;+216 92 20 24 04 ;contactemm1937@gmail.com
El Menzah Sports;Rue du martyr Salah Chatty ;Tunis;+216 28 72 99 72 ;el.menzah.sport@gmail.com
ELITE Football Academy;Route de Moureddine ;Msaken;+216 20 454 603 ;null
Elite Tennis Academy;Cité des Sciences ;Ariana;+216 23 43 45 55 ;null
Empire Fitness ;Coin avenue Habib Bourguiba (2éme étage en face de l'UBCI) , Megrine ;Ben Arous;+216 71 42 58 33 ;contact.empire.fitness@gmail.com
ENERGY ;Av Djedida Maghrebia en face faculté des langues appliquée ;Nabeul;+216 72 27 16 49 ;energy.nabeul@gmail.com
Energy Gym Club; Rue Turkey, Ksar Hellal ;Monastir;+216 58 04 99 24 ;null
Energy sport Djerba;Avenue Habib Bourguiba Houmt Souk Djerba ;Médenine;+216 75 65 00 40 ;abdel.legrand@gnet.tn
Energy-sports club;Avenue Mongi Slim ;Nabeul;+216 72 28 55 24 ;sportclubenergy@yahoo.fr
Energym;11 rue Bulla Regia, cité Hédi Nouira ;Ariana;+216 28 129 069 ;amin.hz886108@gmail.com
Ennasr Sport;Rue de l’environnement sidi Hassine ;Tunis;+216 98 70 31 18 ;ennasrsport@gmail.com
Enora GYM;cité Monji Slim ;Zaghouan;+216 55 89 07 85 ;null
Entente Sportive Aousja;Aousja, Ghar el Melh ;Bizerte;+216 23 11 88 89 ;elmoueddeb11@yahoo.fr
Equita-land;rue du parc ;Soukra;+216 52 737 157 ;slama-rakia@yahoo.fr
Espace Zmorda;Rue Yakout El Hamaoui ;Soukra;+216 25 345 031 ;contact@espace-zmorda.com
ESPERANCE SPORTIVE DE TUNIS;Parc Hassen Belkhodja Avenue Mohammed V ;Tunis;+216 71 83 21 19 / 71 83 20 99 ;admi.est@gnet.tn
Espérance Sportive de Tunis;Parc Hassen Belkhodja Avenue Mohammed V ;Tunis;+216 71 83 20 99 ;zbs@est.org.tn
Espoir Sportif d'Hammam Sousse (ESHS);Avenue de la République ;Hammam sousse;+216 73 366 052 ;null
Espoir Sportif De Haffouz  ;B.P N°11 Haffouz  ;Kairouan;+216 77 35 56 71  ;eshaffouz041962@gmail.com
Espoir sportif de Medjez El Bab;Medjez El Bab ;Béja;+216 50 62 78 58 ;marwen_7@live.fr
Espoir sportif Denden;Denden ;Manouba;+216 98 56 02 11 ;null
Espoir Sportif Hammam Ghezez;Hammam Ghezez ;Nabeul;+216 55 65 98 98 ;ramibenslimene.3@gmail.com
Espoir Sportif Kheireddine Basket-Ball;Kheireddine, La Goulette ;Tunis;+216 22 55 59 83 ;csk.basketball@gmail.com
Espoir sportif zriba village;Stade municipal Zriba Village ;Zériba;+216 56 79 91 67 ;null
Essor Sportif de Sidi Alouane;Sidi Alouane ;Mahdia;+216 26 32 00 48 ;essa1975@outlook.com
Étoile Olympique La Goullette Kram;11 Route de La Goulette ;Tunis;+216 71 27 76 45 ;eogk1927@gmail.com
Étoile sportive de Métlaoui;Stade Municipal de Métlaoui ;Métlaoui;+216 76 24 41 44 ;null
Etoile Sportive du Douar Hicher;Douar Hicher ;Manouba;+216 53 50 14 79 ;ahmed.bouzezi04@gmail.com
Etoile Sportive du Fahs;Stade municipal d'EL Fahs, C28 ;Fahs; +216 20 10 68 14 ;esfahs1942@yahoo.fr
Etoile Sportive du Sahel;Avenue Mohamed-Karoui ;Sousse;+216 73 220 300/ 73 225 237 ;secretariat@etoile-du-sahel.com
Etoile Sportive Eljem;Eljem ;Mahdia;+216 73 63 27 02 / 97 81 01 36 ;null
Ettadhamen Sport;Cité Ettadhamen ;Ariana;+216 25 06 17 99 ;null
EuroGym Fitness;Avenue de l'Environnement ;Tunis;+216 52 77 28 11 ;eurogymfitness11@gmail.com
Extra Fitness;Rue la Liberté SAHLOUL ;Sousse;+216 56 66 88 88 ;extrafitness.vipgym@gmail.com
Extra Gym;1 Rue De La Poste - Avenue Cité Sportive - Borj Louzir , A côté de la Cité Olympique ;Ariana;+216 29 16 79 50 ;null
Ez Zahra HandBall;Avenue de la République, Ezzahra ;Ben Arous;+216 54 82 68 09 ;null
Factory gym;Avenue 10 Décembre 1948 Menzah 1 ;Tunis;+216 93 01 76 88 ;factorygym.tn@gmail.com
Falcon Club;Bardo ;Tunis;+216 52 72 27 32 ;null
Familly Gym Monastir;R4 derrière la poste de Borj Khfacha ;Monastir;+216 52 18 70 90 ;mestirihamza8@gmail.com
Family Gym;R4 derrière la poste de Borj Khfacha ;Monastir;+216 52 18 70 90 ;mestirihamza8@gmail.com
Fédération Tunisienne de Badminton;Salle couverte ;Ariana;+216 71 71 07 31 ;ftbad2019@gmail.com
Fédération Tunisienne de Karaté;Cité Administrative Ibn Roched ;Tunis;+216 71 23 21 99 ;null
Federation Tunisienne de Speed Ball; Rue Abou Abess Ksantini, Résidence Ibn Rachik, Cité Olympique ;Tunis;+216 71 77 21 25 ;ftsb@ftsb.tn
Feel Good;20 Rue Hortensias Nouvelle Ariana  ;Ariana;+216 70 73 20 66 ;feelgoodsportcenter@gmail.com
Femmes en forme;Rue du Yen, immeuble Louati, 1er étage, les Berges du Lac II ;Tunis;+216 95 39 39 31 ;null
Fetoui Fitness Club;Route Sidi Mansour km6 ;Sfax;+216 53 71 53 29 ;null
Fight Club La Marsa;81 Rue de l'or, La Marsa ;Tunis;+216 92 48 20 01 ;null
Fight Club La Marsa;81 rue de l'or, La Marsa ;Tunis;+216 92 48 20 01 ;null
Fit 4 You;Avenue Grand Maghreb ;Gabès;+216 29 10 19 99 ;contact@fit4you.tn
Fit Fight Gym;zone industrielle , a coté de la maison KIA  ;Monastir;+216 73 42 70 07 ;null
Fitness City Elmourouj;El Mourouj 6 ;Ben Arous;+216 25 99 09 76 ;null
FITNESS CLUB BodyRock;3 Rue El Fouled le paralléle de L'Avenue Bayrem Ettounsi  ;Bardo;+216 71 663 161 / 96 794 961                                                                                                                                                                                      ;darragi2006@gmail.com
Fitness Club FC;Manzel Bourguiba ;Bizerte;+216 29 58 35 83 ;null
Fitness Club l'Orange Blue;Aouina ;Ariana;+216 21 37 58 46 ;null
Fitness Club Zaghouan;Rue Ezzanabek ;Zaghouan;+216 98 53 84 29 ;fitnessclubzaghouan@gmail.com
Fitness Et Performance;sousse ;Sousse Ville;73 368 863 / 97 900 690 / 25 139 775 ;null
Fitness First;Residence Salah Waja ;Mahdia;+216 50 24 11 38 ;null
Fitness First Bizerte;Rue 14 Janvier ;Bizerte;+216 98 30 00 10 ;contact@fitnessfirst.tn
Fitness First Zaghouan;Rue de la terre ;Zaghouan;+216 27 12 36 49 ;sabeurfouzaai@gmail.com
Fitnessline;Fitness Line centre de sport Rue Abdel Halim Hafedh ;Ariana;+216 36 34 23 82 / 24 90 86 04 ;contactfitnessline@gmail.com
fityogaprof;5 Rue de jeune foyer el menzah 1 ;Tunis;+216 53 88 11 13 / 51 881 413 / 31 501 792 ;fityogaprof@gmail.com
Five Stars Club;borj touil,sidi younis  ;Ariana;+216 29 44 47 97 ;contact.fivestarsclub@gmail.com
Flambeau Sportif de Sahline;Sahline ;Monastir;+216 73 51 33 48 ;null
Flèche Sportive El Horri;Menzel Temime ;Nabeul;+216 72 33 94 63 ;null
Flèche sportive Mnihla;El Mnihla ;Ariana;+216 95 31 10 12 ;hammami.bilou@gmail.com
FLORA Fitness CLUB F.F.C;Rue Marri, Kasar Helall ;Monastir;+216 58 59 03 95 / 95 31 17 23 ;null
Football club de Bizerte;Stade municipal ;Bizerte;+216 25 30 04 00 ;fcbizerte@gmail.com
Football club Messadine Mini Football;Messadine ;Sousse;+216 22 93 93 23 ;fcmessadine@gmail.com
Forest Club;Radès ;Ben Arous;+216 56 41 21 00 ;null
Futsal Club Du Sahel;Salle couverte ;Sousse;+216 73 22 92 59 ;null
G.S.T - Gazelec Sport de Tunis;Avenue L. Braille Tunis Belvédère ;Tunis;+216 71 287 053 ;tennis@gazelecsportdetunis.tn
Gabes Chess Academy;Rue abdel azziz aroui ;Gabès;+216 24 058 220 ;null
Galaxy Gym;Rue El Hsinet Montplaisir ;Tunis;+216 71 90 53 78 ;contact@galaxygym.tn
Gammarth Tennis Academy;Ghammarth, La Marsa ;Tunis;+216 99 71 95 58 / 55 07 86 83 ;contact@tennis-academy.net
Gazelec Sport de Tunis (G.S.T);@ ;Tunis;+216 71 287 053 ;tennis@gazelecsportdetunis.tn
Gazelle Sportive Moulares;stade Moulares ;Moulares;+216 55 30 02 52 ;gafsi12@hotmail.com
Get Fit Club ;Centre villes, prés de la poste tunisienne ;Gafsa;+216 22 40 44 88 ;null
Get Fit Club;Route de la Marsa l'Aouina, Cité Taieb M'hiri, Tunis ;Tunis;+216 70 85 52 09 / 53 59 00 89 ;null
Gladiator Gym;Kairouan  ;Kairouan Sud;+216 26 02 32 11 ;null
Go Mahdia;Ez-Zghana ;Mahdia;+216 21 77 16 43 ;null
Gold Fitness & Gym;105, Avenue du 20 Mars 1956, El Mourouj  ;Ariana;+216 20 55 14 59 ;null
Gold's Gym ;Cité Ibn Kaldoun, Tunis Route X3, 2éme entrée ;Tunis;+216 58 17 81 24 ;lounifigym@gmail.com
Golden bat Boumardes;Boumardes ;Mahdia;+216 25 15 57 38 ;hadiahmad77178@gmail.com
Golden Gym;Rue grand maghreb Khezama Ouest près de Carrefour Market ;Sousse;+216 98 82 78 33 ;null
Golden Park - GP;Route el Ain km 8 ;Sfax;+216 74 65 07 50 ;null
GOLF CLUB DE MONASTIR;BP 11 ;Monastir;+216 23 540 750 ;null
GOLF DE CARTHAGE;Rue 13 aout, Chotrana 2 ;Ariana;+216 71 76 51 00 / 71 75 94 19 ;golfsoukra@gmail.com
Golf Yasmine Valley;Golf Yasmine BP 61 ;Hammamet;+216 72 22 70 01 ;booking@golfyasmine.com
Golfe sportif Kettana;Kettana ;Gabès;+216 24 30 04 24 ;null
Grinta Sport;3 Rue 7555 - Terre Gharbi Les jardins d'El Menzah 1 ;Tunis;+216 97 82 00 64 ;contact.grintasport@gmail.com
Gym Box;71 Rue Mouaouia Ibn Abi Soufian Menzah 6  ;Ariana;+216 71 23 42 34 ;contact@gymbox.tn
Gym Club;Complexe Sportif Ooredoo Foot Academy ;Sousse;+216 73 277 826 ;gymclub@khamsa-group.com
Gym Core Centre;Boulvard Habib Bourguiba ;Béni Khiar;+216 72 23 87 68 ;gymcore2018@gmail.com
Gym for you;Diar Ben Mahmoud ;Tunis;+216 50 94 44 43 ;gymforyou14@gmail.com
Hamdi équitation;Kantaoui ;Sousse;+216 97 45 70 46 ;null
Hammamet Moto Club;Hammamet ;Nabeul;+216 20 48 81 17 ;wali354354@gmail.com
Hammamet Velo;40 Avenue Habib Bourguiba, Hammamet ;Nabeul;+216 21 16 54 39 ;contact.hv8050@gmail.com
Handball club de Menzel Bourguiba;Menzel Bourguiba ;Bizerte;+216 24 55 83 42 ;hbcmb2019.2020@gmail.com
HARDCORE GYM;9 Rue de l'Egalité ;Ariana;+216 55 42 78 93 ;null
Hippoclub;Sidi Thabet ;Ariana;+216 71 58 52 22 ;hippoclubcentreequestre@gmail.com
History Fitness;Jardin de Carthage, Ain ZAGHOUAN ;Tunis;+216 29 02 50 00 / 71 69 80 04 ;historyfitness@gnet.tn
IBIZA GYM;04 Rue de Bizerte, Nouvelle Médina 3 ;Ben Arous;+216 70 03 86 62 ;null
Ibiza Sport Djerba;Route de houmt souk, a coté de rond point de liberté ;Jerba Midoun;+216 55 57 50 07 ;ibizasport.djerba@gmail.com
Ikaa Ecole de musique et danse;48 rue Mohamed Bairem 5, La Marsa ;Tunis;+216  26 27 55 55 ;contact.ikaa@gmail.com
Infinity Club Fouchana;Fouchana ;Ben Arous;+216 22 64 96 57 ;null
Iron gym;centre ville ;Kasserine;+216 58 63 03 21 / 96 66 21 34 ;null
IRON GYM;Hammam Sousse ;Sousse;+216 54 12 38 99 ;null
JAB Boxing;115 Rue L'UMA Soukra  ;Ariana;+216 20 28 22 49 ;aminmagherbi@gmail.com
JABBES SPORT-FOOT ACADEMY;Chott Mariem ;Sousse;+216 73 344 418 / 98 503 202 ;jabbesbechir@hotmail.fr
Jet Club;05 Rue de Sfax Rades Meliane ;Ben Arous;+216  55 94 19 41 ;null
Jetset Fitness;Avenue des Jardins, Oued Ellil ;Manouba;+216 55 01 19 36 ;anis-namouchi@hotmail.com
Jeunesse Sportive de Lamta - JsL;Avenue Habib Bourguiba, Lamta ;Monastir;null;null
Jeunesse Sportive de l’Ariana;Cité Administrative ;Ariana;+216 21 69 20 59 ;null
Jeunesse Sportive du Bardo;Le Bardo ;Tunis;+216 99 42 52 52 / 22 55 05 98 ;jsbnatation@gmail.com
Jeunesse Sportive El Bokri;Cité El Bokri, Sidi Thabet ;Ariana;+216 96 72 48 03 ;jeunesportifbokri@gmail.com
Jeunesse sportive Grombalia ;Grombalia ;Nabeul;+216 52 32 64 49 ;null
Jeunesse sportive Msaken;Route de Sfax, Msaken ;Sousse;+216 98 54 60 60 ;loghmari.mourad@yahoo.fr
Jeux individuels de Sidi Thabet;Sidi Thabet ;Ariana;+216 50 84 08 57 ;null
Joy's boxe club;Menzah 1 ;Tunis;+216 21 46 66 63 ;null
JOYS Sport Club; Cité la Gazelle , Route de Bizerte Km 5 ;Ariana;+216 71 75 65 77 ;joys.sportsclub@yahoo.fr
Judo club de Sfax;Centre ville ;Sfax;+216 24 55 98 31/ 23 34 71 67 ;judo.clubsfax@gmail.com
JUDO CLUB KANO;25, avenue de l'UMA ;Soukra;+216  71 710 185 ;a.touati@aikidotunisia.com
Judo jujitsu self défense Medenine;Centre ville ;Médenine;+216 96 83 01 18 ;null
Jump Gym Monastir;Hotel Les Palmiers  ;Monastir Ville;+216  55 40 80 40 ;null
Jungle Gym Gafsa;Centre ville ;Gafsa;+216 52 78 84 99 ;null
Juventus Academy Tunisia by Jeep;El Menzah ;Tunis;+216 25 58 50 01 ;tunis@juventus-academy.com
Kaanich Sport Taekwondo;Centre ville ;Sfax;+216 22 44 61 05 ;dalyjaffel@gmail.com
Kalaa Chess;Maison des jeunes, Kalaa Sghira ;Sousse;cavalierechec@yahoo.fr ;null
Kano club arts martiaux;Jbal Lahmar ;Tunis;+216 29 80 32 11 ;kanoacademiejudo@gmail.com
Karaté hammam Lif;Hammam Lif ;Ben Arous;+216 98 51 65 97 ;null
KEEP COOL Gym Bizerte;Rue 14 janvier cité el jalaa ;Bizerte;+216 95 04 65 71 ;yassmin.dhaouadi1@gmail.com
KeepFit ;KeepFit Kantaoui, Hammam Sousse ;Sousse;+216 73 24 64 89 ;keepfit.fitnessplus@gmail.com
Kiné PRO;142 Avenue Louis Braille ;Tunis;+216 24 385 517 ;kine_pro@hotmail.fr
Kodokan Club;Rue Ahmed Saouef 4071 Khézama Ouest ;Sousse;+216 98 228 517 ;null
Korba Tennis Club;Korba ;Nabeul;+216 55 47 59 55 ;null
Kram Team;5 Avenue Taher Ben Ammar 2092 ;Tunis;+216 28 99 39 25 ;null
Kram Team;Rue de la Gare, La Goulette ;Tunis;+216 28 99 39 18 ;null
KRAV MAGA ACADEMIE TUNISIE;Ecole International de Carthage,  Jardins de Carthage ;La Marsa;+216 52 38 40 21 ;null
Krav Maga Académie Tunisie - Bizerte;Menzel Bourguiba, Rue de la république ;Bizerte;+216 55 40 48 88 ;nidhal.bejaoui.kmat@gmail.com
Krav Maga-Manar 1;El Manar ;Tunis;+216 29 90 70 12 ;omar2302@live.fr
L'Académie Médenine;Route de Gabes, KM 3 ;Tataouine;+216 21 55 42 36 ;null
L'association de la Chebba des jeux individuels;Chebba ;Mahdia;+216 95 10 35 59 ;null
L'association Sportive Des Arts Défensifs;El Kabbaria ;Tunis;+216 20 46 77 76 ;null
L'Avenir Sportif de la Marsa;Cité archéologique de Carthage ;Tunis;+216 26 12 86 00 ;null
L'avenir Sportif de Radès;Radès ;Ben Arous;+216 98 31 23 10 ;null
L'Avenir Sportif de Tebourba;Tebourba ;Manouba;+216 54 94 82 83 ;null
